lag,mean,lo,hi,n
-12,0.5622323449987725,0.5570960966694852,0.5672928998117891,36661
-11,0.5557243510830562,0.5512840828727834,0.5607323397679352,38179
-10,0.5515484615770717,0.5461250815640214,0.556518847563118,39846
-9,0.5467183885890516,0.5418857218581342,0.5514191403238242,41504
-8,0.5416464723395417,0.5371789101987121,0.5462975143668213,43329
-7,0.5358076088400726,0.531499955711059,0.54063731786173,45158
-6,0.5303210463733651,0.5259326694411415,0.5339529896381858,47096
-5,0.5249627649807194,0.5211056250382552,0.5293396649868403,49013
-4,0.5173094205446802,0.5133918454264839,0.5218223733052006,51186
-3,0.5122564660835617,0.5074862044371035,0.5166020683959608,53278
-2,0.5090014557113638,0.5049448119552599,0.5132492767509996,54269
-1,0.5005190405944381,0.49610992733431675,0.5047209929155512,54909
0,0.48626926616057053,0.4827384546813895,0.48974328559926383,69552
1,0.4846990134890276,0.48076950731973883,0.4882970462193333,69538
2,0.4739651525833417,0.4702858150007913,0.4777815346100168,69503
3,0.46225070199438406,0.45882964936280507,0.4664641082871337,69445
4,0.4501016274812241,0.4467598131784175,0.45390328811751307,69371
5,0.4373294839408156,0.43390761457957416,0.44081053771201734,69275
6,0.4254328237319024,0.42171350467898006,0.42902739409016616,69139
7,0.4133642556892303,0.40974054210755184,0.41701007392375705,68990
8,0.4013024013024013,0.39744207512064655,0.404890182568754,68796
9,0.3892678092573161,0.38561377812755043,0.3926926664334849,68616
10,0.37837995849045575,0.37512058230290274,0.38243627407992054,68418
11,0.36778913110404177,0.3643194845557298,0.371059035667688,68213
12,0.35821620428287587,0.35448818897637796,0.36220546029877104,67945
13,0.34797506867928985,0.34436275957817625,0.351899757776268,67706
14,0.3371979243884359,0.33365455893254264,0.3409581171237954,67450
15,0.3262054382464187,0.3226911278553772,0.3291873901778003,67154
16,0.31620748451942926,0.31302648897663704,0.3197601633312393,66858
17,0.30641815722230575,0.30315496768375166,0.30999549075604993,66530
18,0.29775730574643205,0.29466057539832363,0.30148908857509626,66215
19,0.28813224846681645,0.2847729066731435,0.2914589531847714,65876
20,0.2799188021795204,0.27664303484485414,0.2833246844426807,65519
21,0.2717793577911209,0.2683540902040879,0.2753363073757275,65119
22,0.2636676810900159,0.26044559961688785,0.26667348956482784,64733
23,0.25690427318529574,0.25378607638240963,0.2602246221309946,64308
24,0.24883760978129843,0.24560287740501274,0.25239288006637756,63877
