lag,mean,lo,hi,n
-12,0.3077607207764588,0.3023268628436642,0.313334751169715,25861
-11,0.30653641075357024,0.3008687870539543,0.31194302546701963,26819
-10,0.3061841205885527,0.30080314422419685,0.31095172140878513,27797
-9,0.3049254249046133,0.30020811654526536,0.31022285813388834,28830
-8,0.30495574034334766,0.30042918454935624,0.31060639082618025,29824
-7,0.3047436977512799,0.29934790357073426,0.309960469185406,30862
-6,0.30428240015047964,0.29917079440717287,0.30949119067026143,31898
-5,0.3041105856675155,0.2993944767794349,0.3091427185643264,32988
-4,0.3041736620423552,0.29936820712202883,0.30850343141586406,33951
-3,0.30309513621452006,0.2988011695906433,0.30815932106689486,35055
-2,0.30283526604893746,0.2979907618043611,0.3071776341341619,36046
-1,0.30165920604712254,0.29713793658026644,0.3066462058058809,37307
0,0.29071065360287734,0.2860331142254744,0.29552647897804785,40315
1,0.29861076655916646,0.29410630116596376,0.3026935003721161,40310
2,0.30610573343261355,0.3017336808140978,0.31079672375279227,40290
3,0.31316142495155763,0.30872521985392753,0.31726163859492224,40254
4,0.31899810964083175,0.31449358272808675,0.3233403392697244,40204
5,0.32366427432216904,0.31919046551036684,0.3278782894736842,40128
6,0.3286659178834394,0.3239067764882067,0.33343566704105826,40065
7,0.33283275767132203,0.3281010662261601,0.3373629674125244,39954
8,0.3362125244814945,0.33175375382915684,0.3412142821272536,39826
9,0.3391345960104775,0.33487809792464235,0.3438217811807375,39704
10,0.3410601885790844,0.3364714729897116,0.3460293485679618,39559
11,0.3420852165964146,0.33723401554009447,0.3469110253415266,39382
12,0.3437045726964372,0.33889661064497206,0.3484360256050598,39211
13,0.3443459093705147,0.33957863440639735,0.3491548339142916,39016
14,0.3447209769670737,0.3406109908795795,0.34932047714742104,38814
15,0.3453244868339208,0.3402815934065934,0.3498995697698528,38584
16,0.34564458113955066,0.34048701975707657,0.350434629619976,38366
17,0.34644636768948334,0.34163322842905847,0.3513394964594807,38130
18,0.34718594158157207,0.34297672761814296,0.3518311828808148,37899
19,0.3475672946616002,0.3424653894188611,0.3526034331570696,37633
20,0.34716607319750475,0.34296270514845656,0.35181722042247865,37351
21,0.3475341763960417,0.34292339633833957,0.3521874241648017,37087
22,0.34793835448886956,0.3429085917751624,0.35262903971079884,36791
23,0.34779270633397313,0.3431443652316973,0.3529620235810255,36470
24,0.3474592680700396,0.34245110785317145,0.35234640812149043,36151
