lag,cum_mean,cum_lo,cum_hi,n
-12,0.08725674827369742,0.07344632768361582,0.10106716886377903,1593
-11,0.1738889915324467,0.14745665470599104,0.2020424987547716,1743
-10,0.2599161031070035,0.22278251497710677,0.30058264474017304,1918
-9,0.34794260570993774,0.2999240199463448,0.40068912841267657,2113
-8,0.4405193975188115,0.3799048219941264,0.5047846915526083,2344
-7,0.5344016599274302,0.46165741914687747,0.6090555649654594,2599
-6,0.6359262614520317,0.5512190962085546,0.7221965906064851,2886
-5,0.7451287154397618,0.6496853538772662,0.8412303329377735,3260
-4,0.8569922040638138,0.7516558305836585,0.9636572018435157,3692
-3,0.9769162126128521,0.8618434344782203,1.0929673419527535,4211
-2,1.1061404421558914,0.9823535301211533,1.231654908371457,4705
-1,1.2432975493878116,1.1092430371228799,1.3791803255976223,5213
0,1.38943398650388,1.2466500852961744,1.5337228409548807,6186
1,1.5413900162484646,1.38833695888169,1.6935231965966524,6186
2,1.6960941869565151,1.5343885269385928,1.8570416253066426,6186
3,1.8542186817018669,1.6837822213605815,2.023743322962261,6185
4,2.0154672665312376,1.8369441168805556,2.1943805540798413,6183
5,2.180165535419767,1.9920970047627753,2.3683087210431157,6181
6,2.347884492842464,2.150588181709513,2.545340451656682,6177
7,2.5196278499390288,2.3132502037445097,2.725995020678069,6172
8,2.6941615076843655,2.4790936749529444,2.9100988325191075,6165
9,2.8713479428620388,2.647193626275352,3.0958079027770986,6163
10,3.0504063844204805,2.8173153795221055,3.2843671560238517,6160
11,3.2305851009111386,2.988070862868978,3.4734816970474096,6155
12,3.4113824971682583,3.1586933201513214,3.663803096559208,6145
13,3.592370594347453,3.330301831483459,3.8546599366048624,6133
14,3.7729556572662304,3.5010813706238415,4.045050523302035,6119
15,3.9536430549749046,3.6723538747154945,4.234903223793034,6110
16,4.133016722789301,3.843029395292638,4.424278531220481,6099
17,4.311488374391602,4.011718795456977,4.6127049897250005,6085
18,4.490671510096477,4.181263426550521,4.801942473255962,6072
19,4.671034546400107,4.352133888596725,4.992206499658602,6060
20,4.849576454153455,4.521087434637393,5.179596977423522,6049
21,5.029212215742859,4.69078942139236,5.368504262191734,6040
22,5.2079850183962595,4.859935358374118,5.55748021575724,6030
23,5.387037387473566,5.029677669263561,5.746761180013266,6015
24,5.564781848576349,5.198260044742488,5.934009222658609,6003
