lag,mean_ord,mean_shf,delta
-12,0.5622323449987725,0.5588500040915414,0.0033823409072311073
-11,0.5557243510830562,0.5489309836981362,0.006793367384919979
-10,0.5515484615770717,0.5428957922965565,0.008652669280515224
-9,0.5467183885890516,0.5362994003967635,0.010418988192288148
-8,0.5416464723395417,0.5290482596267025,0.012598212712839119
-7,0.5358076088400726,0.5217477735368957,0.014059835303176893
-6,0.5303210463733651,0.5144059321873997,0.015915114185965362
-5,0.5249627649807194,0.5085146811027856,0.016448083877933728
-4,0.5173094205446802,0.5015728108865867,0.015736609658093537
-3,0.5122564660835617,0.4941429829999674,0.018113483083594284
-2,0.5090014557113638,0.48645485471739336,0.022546600993970434
-1,0.5005190405944381,0.47827388077567634,0.02224515981876174
0,0.48626926616057053,0.4714602024384633,0.014809063722107219
1,0.4846990134890276,0.46338793091029573,0.021311082578731877
2,0.4739651525833417,0.45346688990243056,0.02049826268091115
3,0.46225070199438406,0.44391097485140785,0.018339727142976214
4,0.4501016274812241,0.43380126617120834,0.016300361310015776
5,0.4373294839408156,0.4232952483268245,0.014034235613991086
6,0.4254328237319024,0.41290529041267254,0.012527533319229844
7,0.4133642556892303,0.401681749952637,0.011682505736593296
8,0.4013024013024013,0.39090311747097906,0.010399283831422246
9,0.3892678092573161,0.3802598466670568,0.009007962590259266
10,0.37837995849045575,0.3696499765478424,0.008729981942613374
11,0.36778913110404177,0.3590922444183314,0.008696886685710392
12,0.35821620428287587,0.347869600412098,0.010346603870777848
13,0.34797506867928985,0.3376400674097508,0.010335001269539068
14,0.3371979243884359,0.3292809796986,0.007916944689835892
15,0.3262054382464187,0.31934756307039686,0.0068578751760218215
16,0.31620748451942926,0.30968894493484656,0.0065185395845827054
17,0.30641815722230575,0.30002714768339767,0.006391009538908088
18,0.29775730574643205,0.2909010975683706,0.006856208178061429
19,0.28813224846681645,0.2817182664898401,0.006413981976976346
20,0.2799188021795204,0.273496413463307,0.006422388716213423
21,0.2717793577911209,0.26565725023874803,0.006122107552372857
22,0.2636676810900159,0.25765902441289845,0.006008656677117474
23,0.25690427318529574,0.2509689771648273,0.005935296020468439
24,0.24883760978129843,0.24326439876637915,0.005573211014919283
