lag,mean_ord,mean_shf,delta
-12,0.3077607207764588,0.3110861915625846,-0.003325470786125828
-11,0.30653641075357024,0.30855622875720407,-0.002019818003633822
-10,0.3061841205885527,0.30641682870779563,-0.00023270811924291923
-9,0.3049254249046133,0.3039435281341207,0.0009818967704925963
-8,0.30495574034334766,0.30142838507696323,0.0035273552663844243
-7,0.3047436977512799,0.29954785229841746,0.0051958454528624465
-6,0.30428240015047964,0.29875128811299023,0.005531112037489405
-5,0.3041105856675155,0.2991900347963391,0.004920550871176377
-4,0.3041736620423552,0.2987188893278402,0.005454772714514999
-3,0.30309513621452006,0.29899915459925275,0.004095981615267308
-2,0.30283526604893746,0.29938222715032475,0.0034530388986127036
-1,0.30165920604712254,0.300189345478737,0.0014698605683855503
0,0.29071065360287734,0.30058290958700234,-0.009872255984125
1,0.29861076655916646,0.3074838388861263,-0.00887307232695983
2,0.30610573343261355,0.3139175514680225,-0.0078118180354089795
3,0.31316142495155763,0.3197921351121771,-0.006630710160619446
4,0.31899810964083175,0.32445490274613864,-0.00545679310530689
5,0.32366427432216904,0.3286639554149721,-0.004999681092803077
6,0.3286659178834394,0.3322172150751492,-0.003551297191709768
7,0.33283275767132203,0.33510759062586715,-0.002274832954545114
8,0.3362125244814945,0.3372857359559084,-0.0010732114744138599
9,0.3391345960104775,0.33986315255955396,-0.0007285565490764423
10,0.3410601885790844,0.3416294189353921,-0.0005692303563077372
11,0.3420852165964146,0.3434438535331688,-0.0013586369367541984
12,0.3437045726964372,0.345285761648517,-0.0015811889520797595
13,0.3443459093705147,0.3459614743375997,-0.001615564967085037
14,0.3447209769670737,0.3461032088184423,-0.0013822318513685983
15,0.3453244868339208,0.3466787989080983,-0.0013543120741774661
16,0.34564458113955066,0.3469014047662647,-0.001256823626714032
17,0.34644636768948334,0.3476727042965459,-0.0012263366070625614
18,0.34718594158157207,0.3474886086680089,-0.0003026670864368364
19,0.3475672946616002,0.3470509741126234,0.0005163205489767675
20,0.34716607319750475,0.34717518679782833,-9.113600323573667e-06
21,0.3475341763960417,0.3472038094207408,0.00033036697530092196
22,0.34793835448886956,0.34709346711746103,0.0008448873714085314
23,0.34779270633397313,0.3472302326220098,0.0005624737119633294
24,0.3474592680700396,0.3473209593095627,0.00013830876047687957
